i1	1/d(V(G))
6.860010000000101e-004	1.522433e-002
6.870010000000101e-004	1.524508e-002
6.880010000000101e-004	1.526589e-002
6.890010000000102e-004	1.528676e-002
6.900010000000102e-004	1.530419e-002
6.910010000000102e-004	1.532866e-002
6.920010000000102e-004	1.534969e-002
6.930010000000103e-004	1.536727e-002
6.940010000000103e-004	1.538841e-002
6.950010000000103e-004	1.540961e-002
6.960010000000103e-004	1.543087e-002
6.970010000000103e-004	1.545219e-002
6.980010000000104e-004	1.547000e-002
6.990010000000104e-004	1.549143e-002
7.000010000000104e-004	1.551291e-002
7.010010000000104e-004	1.553086e-002
7.020010000000105e-004	1.555246e-002
7.030010000000105e-004	1.557412e-002
7.040010000000105e-004	1.559583e-002
7.050010000000105e-004	1.561397e-002
7.060010000000106e-004	1.563216e-002
7.070010000000106e-004	1.565769e-002
7.080010000000106e-004	1.567598e-002
7.090010000000106e-004	1.569431e-002
7.100010000000107e-004	1.572004e-002
7.110010000000107e-004	1.573848e-002
7.120010000000107e-004	1.575695e-002
7.130010000000107e-004	1.577918e-002
7.140010000000108e-004	1.579776e-002
7.150010000000108e-004	1.581637e-002
7.160010000000108e-004	1.583877e-002
7.170010000000108e-004	1.586123e-002
7.180010000000109e-004	1.588375e-002
7.190010000000109e-004	1.590257e-002
7.200010000000109e-004	1.592144e-002
7.210010000000109e-004	1.594035e-002
7.220010000000110e-004	1.595930e-002
7.230010000000110e-004	1.598211e-002
7.240010000000110e-004	1.600498e-002
7.250010000000110e-004	1.602408e-002
7.260010000000111e-004	1.604324e-002
7.270010000000111e-004	1.606628e-002
7.280010000000111e-004	1.608554e-002
7.290010000000111e-004	1.610484e-002
7.300010000000112e-004	1.612419e-002
7.310010000000112e-004	1.614358e-002
7.320010000000112e-004	1.616691e-002
